SalePrice,OverallQual,GrLivArea,GarageCars,TotalBsmtSF,FullBath,YearBuilt
208500,7,1710,2,856,2,2003
181500,6,1262,2,1262,2,1976
223500,7,1786,2,920,2,2001
140000,7,1717,3,756,1,1915
250000,8,2198,3,1145,2,2000
143000,5,1362,2,796,1,1993
307000,8,1694,2,1686,2,2004
200000,7,2090,2,1107,2,1973
129900,7,1774,2,952,2,1931
118000,5,1077,1,991,1,1939
129500,5,1040,1,1040,1,1965
345000,9,2324,3,1175,3,2005
144000,5,912,1,912,1,1962
279500,7,1494,3,1494,2,2006
157000,6,1253,1,1253,1,1960
132000,7,854,2,832,1,1929
149000,6,1004,2,1004,1,1970
90000,4,1296,2,0,2,1967
159000,5,1114,2,1114,1,2004
139000,5,1339,1,1029,1,1958
325300,8,2376,3,1158,3,2005
139400,7,1108,1,637,1,1930
230000,8,1795,2,1777,2,2002
129900,5,1060,2,1040,1,1976
154000,5,1060,1,1060,1,1968
256300,8,1600,3,1566,2,2007
134800,5,900,2,900,1,1951
306000,8,1704,3,1704,2,2007
207500,5,1600,1,1484,1,1957
68500,4,520,1,520,1,1927
40000,4,1317,1,649,1,1920
149350,5,1228,1,1228,1,1966
179900,8,1234,2,1234,2,2007
165500,5,1700,2,1398,1,1959
277500,9,1561,2,1561,2,2005
309000,8,2452,3,1117,3,2004
145000,5,1097,2,1097,1,1994
153000,5,1297,2,1297,1,1954
109000,5,1057,1,1057,1,1953
82000,4,1152,0,0,2,1955
160000,6,1324,2,1088,2,1965
170000,5,1328,1,1350,1,1959
144000,5,884,2,840,1,1983
130250,5,938,1,938,1,1975
141000,5,1150,1,1150,1,1959
319900,9,1752,2,1752,2,2005
239686,7,2149,2,1434,1,2003
249700,8,1656,3,1656,2,2006
113000,4,1452,0,736,2,1920
127000,5,955,1,955,1,1966
177000,6,1470,2,794,2,1997
114500,6,1176,2,816,1,1934
110000,5,816,2,816,1,1963
385000,9,1842,3,1842,0,1981
130000,5,1360,2,384,1,1955
180500,6,1425,2,1425,2,1964
172500,8,1739,2,970,2,1999
196500,7,1720,2,860,2,2004
438780,10,2945,3,1410,3,2006
124900,5,780,1,780,1,1972
158000,6,1158,2,1158,1,2004
101000,5,1111,1,530,1,1920
202500,8,1370,2,1370,2,2006
140000,7,1710,2,576,2,1921
219500,7,2034,2,1057,2,1997
317000,8,2473,3,1143,2,2004
180000,7,2207,2,1947,2,1970
226000,7,1479,2,1453,2,2003
80000,4,747,1,747,1,1945
225000,7,2287,2,1304,2,1953
244000,7,2223,2,2223,2,1973
129500,4,845,2,845,1,1982
185000,7,1718,2,832,2,1998
144900,5,1086,2,1086,1,1954
107400,3,1605,1,840,2,1915
91000,4,988,1,462,1,1973
135750,4,952,1,952,1,1956
127000,5,1285,1,672,1,1948
136500,4,1768,0,1768,2,1968
110000,5,1230,2,440,1,1910
193500,6,2142,1,896,2,1968
153500,6,1337,2,1237,2,1998
245000,8,1563,3,1563,2,2007
126500,5,1065,2,1065,1,1960
168500,7,1474,2,384,2,1995
260000,8,2417,2,1288,2,1991
174000,6,1560,2,684,2,2005
164500,6,1224,2,612,2,2009
85000,3,1526,0,1013,1,1915
123600,4,990,0,990,1,1994
109900,4,1040,2,0,1,1950
98600,5,1235,2,1235,1,1961
163500,5,964,2,876,1,1921
133900,6,2291,2,1214,2,1910
204750,6,1786,2,824,2,1997
185000,6,1470,2,680,2,1993
214000,7,1588,2,1588,2,1999
94750,4,960,1,960,1,1965
83000,5,835,1,458,1,1920
128950,4,1225,0,950,1,1959
205000,6,1610,2,1610,2,1977
178000,6,1732,2,741,2,1985
118964,5,1535,2,0,2,1979
198900,7,1226,3,1226,2,2009
169500,7,1818,1,1040,1,1931
250000,8,1992,2,1053,2,2003
100000,4,1047,1,641,1,1885
115000,5,789,1,789,1,1948
115000,5,1517,0,793,2,1919
190000,6,1844,2,1844,2,1977
136900,6,1855,1,994,2,1954
180000,7,1430,2,384,2,2000
383970,7,2696,3,1264,2,2007
217000,6,2259,2,1809,2,1953
259500,6,2320,1,1028,2,1945
176000,6,1458,2,729,2,1999
139000,5,1092,1,1092,1,1962
155000,5,1125,2,1125,1,2006
320000,7,3222,3,1673,3,1990
163990,6,1456,2,728,2,2005
180000,6,988,2,938,1,1969
100000,4,1123,1,732,1,1939
136000,6,1080,1,1080,1,1958
153900,6,1199,2,1199,2,1993
181000,6,1586,2,1362,2,1979
84500,6,754,0,520,1,1935
128000,6,958,2,1078,2,1976
87000,5,840,0,672,1,1930
155000,6,1348,2,660,1,1966
150000,5,1053,2,1008,1,1958
226000,7,2157,2,924,2,1966
244000,6,2054,2,992,2,2000
150750,5,1327,2,1063,1,1959
220000,8,1296,2,1267,2,2001
180000,5,1721,2,1461,2,1968
174000,7,1682,2,1304,2,1970
143000,5,1214,1,1214,2,1967
171000,7,1959,3,1907,3,1988
230000,8,1852,3,1004,2,1999
231500,6,1764,2,928,2,1997
115000,4,864,0,864,1,1971
260000,7,1734,2,1734,2,2005
166000,5,1385,2,910,2,1952
204000,7,1501,2,1490,2,1999
125000,5,1728,2,1728,2,1963
130000,6,1709,2,970,2,2004
105000,5,875,1,715,1,1931
222500,7,2035,2,884,2,2001
141000,7,1080,0,1080,1,2004
115000,5,1344,1,896,1,1936
122000,5,969,2,969,1,1975
372402,8,1710,3,1710,2,2007
190000,6,1993,2,825,2,1971
235000,6,1252,2,1602,1,1960
125000,6,1200,1,1200,1,1923
79000,6,1096,0,572,1,1924
109500,5,1040,2,0,1,1950
269500,8,1968,3,774,2,2009
254900,7,1947,2,991,2,2004
320000,7,2462,2,1392,2,2005
162500,6,1232,2,1232,2,1984
412500,9,2668,3,1572,2,2003
220000,7,1541,2,1541,2,2005
103200,4,882,0,882,1,1956
152000,6,1616,1,1149,2,1926
127500,5,1355,0,644,2,1940
190000,5,1867,1,1617,1,1955
325624,8,2161,3,1582,1,2007
183500,7,1720,2,840,2,2004
228000,8,1707,2,1686,2,1981
128500,5,1382,2,720,1,1941
215000,6,1656,2,1080,1,1960
239000,7,1767,2,1064,2,1987
163000,6,1362,2,1362,1,1961
184000,6,1651,2,1606,2,1986
243000,6,2158,2,1202,2,1950
211000,6,2060,2,1151,2,1988
172500,5,1920,2,1052,2,1958
501837,9,2234,3,2216,2,2008
100000,5,968,2,968,1,1923
177000,6,1525,2,756,2,2000
200100,7,1802,1,793,1,1920
120000,5,1340,1,0,1,1957
200000,7,2082,2,1362,2,2003
127000,5,1252,2,504,1,1908
475000,10,3608,3,1107,2,1892
173000,7,1217,2,1188,2,1990
135000,5,1656,1,660,2,1916
153337,5,1224,2,1086,0,1979
286000,8,1593,2,1593,1,2001
315000,8,2727,2,853,2,1932
184000,7,1479,2,725,1,1972
192000,7,1431,2,1431,2,1999
130000,7,1709,2,970,2,2004
127000,5,864,1,864,1,1972
148500,6,1456,2,855,2,1976
311872,7,1726,3,1726,2,2007
235000,8,3112,2,1360,2,1918
104000,6,2229,0,755,1,1912
274900,8,1713,3,1713,2,2004
140000,4,1121,2,1121,2,2003
171500,6,1279,2,1196,2,1977
112000,6,1310,1,617,2,1924
149000,6,848,2,848,1,2004
110000,5,1284,1,720,1,1947
180500,7,1442,2,1424,2,1990
143900,5,1696,1,1140,1,1962
141000,4,1100,1,1100,1,1960
277000,7,2062,2,1157,2,1988
145000,6,1092,2,1092,1,1964
98000,5,864,0,864,1,1925
186000,6,1212,2,1212,2,2009
252678,7,1852,2,900,2,2009
156000,5,990,2,990,1,1995
161750,6,1392,1,689,1,1977
134450,5,1236,1,1070,1,1957
210000,7,1436,2,1436,2,2004
107000,4,1328,1,686,1,1925
311500,7,1954,2,798,1,1939
167240,7,1248,2,1248,2,2005
204900,7,1498,2,1498,2,2006
200000,6,2267,2,1010,2,2002
179900,6,1552,2,713,2,1975
97000,4,864,2,864,1,1971
386250,10,2392,3,2392,2,2003
112000,5,1302,1,630,2,1971
290000,7,2520,3,1203,2,1995
106000,6,987,1,483,1,1970
125000,5,912,1,912,1,1967
192500,7,1555,2,1373,2,2005
148000,6,1194,1,1194,1,1959
403000,8,2794,3,1462,2,1995
94500,6,987,1,483,1,1972
128200,5,894,1,894,1,1976
216500,6,1960,2,860,2,2002
89500,6,987,1,483,1,1971
185500,7,1414,2,1414,2,2004
194500,7,1744,2,996,2,1993
318000,8,1694,3,1694,2,2007
113000,6,1487,1,735,1,1945
262500,8,1566,2,1566,2,2008
110500,5,866,0,686,1,1945
79000,5,1440,1,540,1,1900
120000,6,1217,1,626,1,1980
205000,7,2110,2,948,2,1994
241500,7,1872,2,1845,2,1988
137000,6,1928,1,1020,2,1910
140000,6,1375,2,1367,1,1954
180000,7,1668,2,840,2,2003
277000,6,2144,2,1444,2,1958
76500,3,1306,0,728,1,1940
235000,8,1625,2,1573,2,2006
173000,6,1640,2,798,2,2004
158000,6,1302,1,1302,2,1964
145000,5,1314,1,1314,1,1957
230000,7,2291,2,975,2,1999
207500,6,1728,2,864,2,2003
220000,7,1604,2,1604,2,2006
231500,7,1792,2,963,2,2001
97000,5,882,1,0,1,1956
176000,6,1382,2,1362,1,1962
276000,8,2574,3,1482,2,2007
151000,6,1212,2,506,1,1977
130000,5,1316,2,926,1,1929
73000,5,764,2,680,1,1925
175500,6,1422,2,1422,2,1981
185000,6,1511,2,802,2,1997
179500,5,2192,1,720,2,1939
120500,5,778,1,740,1,1940
148000,6,1113,1,1143,1,1976
266000,8,1939,3,1095,2,2006
241500,7,1363,2,1385,1,1954
290000,8,2270,3,1152,2,1999
139000,6,1632,1,1240,2,1958
124500,5,816,1,816,1,1982
205000,7,1548,2,952,2,1925
201000,7,1560,2,1560,2,2003
141000,4,864,2,864,1,1951
415298,9,2121,3,2121,2,2006
192000,7,2022,2,1160,2,1977
228500,7,1982,2,807,2,1989
185000,6,1262,2,1262,2,2006
207500,7,1314,2,1314,2,2007
244600,8,1468,3,1468,2,2008
179200,6,1575,2,1575,2,1992
164700,7,1250,2,625,2,2006
159000,6,1734,2,912,1,1962
88000,4,858,0,858,1,1971
122000,5,900,1,882,1,1967
153575,6,1396,1,698,1,1915
233230,8,1919,2,1079,2,2006
135900,5,1716,0,780,2,1912
131000,5,1716,1,768,1,1949
235000,7,2263,2,795,2,1977
167000,6,1644,2,1416,1,1953
142500,6,1003,2,1003,1,1984
152000,5,1558,1,910,1,1950
239000,7,1950,2,975,2,1997
175000,6,1743,2,702,1,1968
158500,6,1152,1,1092,1,1950
157000,5,1336,1,1165,1,1953
267000,8,2452,2,1028,2,1998
205000,7,1541,3,1541,2,2001
149900,5,894,2,894,1,1972
295000,7,3493,3,1470,3,1880
305900,8,2000,3,2000,2,2004
225000,7,2243,3,700,2,1990
89500,6,1406,0,319,1,1920
82500,4,861,2,861,1,1940
360000,9,1944,3,1896,2,2003
165600,6,1501,2,697,2,1993
132000,6,972,1,972,1,1948
119900,5,1118,2,793,1,1939
375000,7,2036,2,2136,2,1965
178000,7,1641,2,728,1,1925
188500,7,1432,2,716,2,2004
260000,7,2353,2,845,2,1980
270000,8,1959,3,1088,2,2006
260000,7,2646,3,1347,2,1993
187500,7,1472,2,1372,2,1980
342643,9,2596,3,1249,3,2006
354000,8,2468,3,1136,2,2004
301000,7,2730,2,1502,2,1986
126175,3,1163,1,1162,1,1955
242000,7,2978,2,710,2,1967
87000,5,803,2,720,1,1941
324000,8,1719,2,1719,1,1993
145250,6,1383,1,1383,1,1960
214500,6,2134,2,844,2,1916
78000,5,1192,1,596,1,1920
119000,5,1728,1,1728,2,1964
139000,5,1056,1,1056,1,1958
284000,8,1629,3,3206,2,2003
207000,7,1358,2,1358,2,2004
192000,6,1638,2,943,2,1998
228950,5,1786,2,1499,2,1965
377426,9,1922,3,1922,2,2005
214000,7,1536,2,1536,2,2002
202500,7,1621,2,1208,2,1984
155000,6,1215,1,1215,1,1958
202900,8,1908,2,967,2,2002
82000,4,841,1,721,1,1950
87500,3,1040,2,0,2,1949
266000,9,1684,2,1684,2,2005
85000,5,1112,1,536,1,1976
140200,6,1577,1,972,1,1939
151500,6,958,1,958,1,1960
157500,6,1478,2,1478,2,1960
154000,7,1626,2,764,2,2003
437154,9,2728,3,1848,2,2005
318061,9,1869,2,1869,2,2007
190000,7,1453,2,1453,1,1986
95000,5,1111,1,616,1,1941
105900,6,720,2,624,1,1928
140000,6,1595,1,940,1,1940
177500,6,1200,2,1200,2,1995
173000,6,1167,2,1158,2,1992
134000,5,1142,2,1142,1,1976
130000,5,1352,1,1062,1,1958
280000,8,1924,2,1086,2,1998
156000,6,912,2,888,1,1978
145000,5,1505,1,883,1,1940
198500,7,1922,2,0,3,2003
118000,6,987,1,483,1,1972
190000,6,1574,2,796,2,1976
147000,5,1344,1,672,1,1920
159000,6,1394,2,1394,1,1963
165000,6,1431,1,1099,1,1962
132000,5,1268,1,1268,1,1954
162000,5,1287,2,1063,1,1959
172400,6,1664,2,953,2,2000
134432,4,1588,2,0,2,1959
125000,6,752,1,744,1,1984
123000,5,1319,1,608,1,1953
219500,7,1928,2,847,2,2003
61000,1,904,0,683,0,1922
148000,5,914,2,870,1,1996
340000,8,2466,2,1580,3,2004
394432,9,1856,3,1856,1,2010
179000,6,1800,2,982,2,2000
127000,5,1691,1,1026,2,1924
187750,7,1301,2,1293,2,2006
213500,7,1797,2,939,2,2006
76000,6,784,2,784,1,1928
240000,6,1953,2,1580,2,1992
192000,8,1269,2,1256,2,2004
81000,5,1184,0,658,1,1910
125000,6,1125,1,1041,1,1976
191000,7,1479,2,1468,2,1999
426000,10,2332,3,1682,2,2007
119000,5,1367,1,861,1,1900
215000,6,1961,2,804,2,2001
106500,5,882,1,0,1,1959
100000,4,788,0,788,1,1941
109000,5,1034,1,735,1,1940
129000,5,1144,1,1144,1,1956
123000,5,894,2,894,1,1972
169500,5,1812,1,864,2,1962
67000,5,1077,1,961,1,1920
241000,7,1550,2,1092,2,2006
245500,8,1288,2,1260,1,1996
164990,7,1310,2,1310,2,2005
108000,5,672,1,672,1,1940
258000,8,2263,2,1141,2,1998
168000,6,1572,2,806,2,1995
150000,4,1620,2,1281,2,1976
115000,6,1639,1,1064,1,1936
177000,6,1680,1,840,2,1915
280000,7,2172,3,1063,2,2006
339750,8,2078,3,1034,2,2007
60000,5,1276,1,1276,1,1958
145000,5,1056,2,1056,1,1955
222000,7,1478,2,1470,2,2009
115000,5,1028,2,1008,1,1927
228000,7,2097,3,1080,2,1993
181134,7,1340,2,1340,2,2007
149500,6,1400,2,672,1,1978
239000,6,2624,3,1370,2,1918
126000,5,1134,1,756,1,1940
142000,5,1056,1,1056,1,1968
206300,7,1344,4,1344,2,1997
215000,6,1602,2,1602,2,1977
113000,5,988,2,988,1,1954
315000,8,2630,3,1470,2,1998
139000,6,1196,1,1196,1,1956
135000,7,1389,1,651,1,1946
275000,7,1644,2,1518,2,1989
109008,4,907,1,907,1,1957
195400,7,1208,2,1208,2,2007
175000,6,1412,2,1392,2,1988
85400,6,987,1,483,1,1971
79900,6,1198,0,901,1,1920
122500,5,1365,2,765,1,1971
181000,6,1604,2,926,2,1997
81000,4,630,0,630,1,1972
212000,7,1661,2,799,2,1996
116000,6,1118,2,648,1,1920
119000,6,904,1,884,1,1926
90350,5,694,1,440,1,1913
110000,6,1196,2,684,1,1920
555000,10,2402,3,3094,2,2008
118000,4,1440,0,1440,2,1955
162900,5,1573,2,1078,2,1930
172500,7,1258,3,1258,2,2006
210000,7,1908,2,915,2,1994
127500,6,1689,2,1436,1,1956
190000,6,1888,2,1517,2,1966
199900,7,1886,2,930,2,1998
119500,6,1376,1,780,2,1937
120000,3,1183,1,649,1,1948
110000,6,813,1,813,1,1930
280000,7,1533,2,1533,2,1975
204000,6,1756,2,872,2,1996
210000,8,1590,2,768,2,2008
188000,5,1728,2,1728,2,1976
175500,7,1242,2,1242,1,1973
98000,5,1344,3,624,1,1916
256000,4,1663,2,1364,1,1954
161000,8,1666,1,588,1,1925
110000,5,1203,1,709,1,1950
263435,8,1935,2,832,2,2009
155000,7,1135,2,560,1,1936
62383,5,864,1,864,1,1965
188700,6,1660,1,715,1,1934
124000,5,1040,0,1040,2,1978
178740,7,1414,2,1375,2,2004
167000,7,1277,2,1277,1,1970
146500,5,1644,1,728,1,1942
250000,8,1634,3,1626,2,2006
187000,6,1710,2,832,2,1993
212000,8,1502,2,1488,1,1985
190000,7,1969,2,808,2,1977
148000,6,1072,2,547,1,2005
440000,8,1976,3,1976,2,2006
251000,8,1652,2,1494,2,2000
132500,5,970,2,970,1,1963
208900,6,1493,2,1478,2,1997
380000,9,2643,3,2153,2,2006
297000,8,1718,3,1705,2,2007
89471,4,1131,2,907,1,1937
326000,9,1850,3,1833,2,2004
374000,9,1792,3,1792,2,2003
155000,7,1826,1,910,1,1915
164000,6,1216,2,1216,2,1998
132500,5,999,1,999,1,1962
147000,5,1113,1,1113,1,1950
156000,5,1073,2,1073,1,1965
175000,5,1484,2,1484,2,1971
160000,5,2414,2,954,2,1900
86000,4,630,1,630,1,1970
115000,5,1304,1,264,1,1976
133000,6,1578,1,806,1,1941
172785,6,1456,2,728,2,2006
155000,5,1269,1,1269,1,1960
91300,5,886,1,190,1,1938
34900,4,720,0,720,1,1920
430000,8,3228,2,3200,3,1992
184000,7,1820,1,1026,2,1925
130000,5,899,1,864,1,1967
120000,5,912,1,912,1,1958
113000,6,1218,1,672,1,1973
226700,7,1768,2,866,2,2005
140000,5,1214,2,1214,1,1965
289000,7,1801,2,1501,2,1959
147000,6,1322,2,855,2,1974
124500,5,1960,2,960,2,1952
215000,8,1911,2,777,2,1993
208300,6,1218,2,1218,2,2009
161000,7,1378,2,689,2,1928
124500,5,1041,1,1041,1,1959
164900,5,1363,1,1008,1,1951
202665,7,1368,2,1368,2,2005
129900,5,864,2,864,1,1958
134000,6,1080,2,1084,1,1983
96500,5,789,1,768,1,1926
402861,10,2020,3,2006,2,2009
158000,6,2119,2,689,2,1972
265000,7,2344,3,1264,2,1996
211000,6,1796,2,794,2,1998
234000,7,2080,1,1276,1,1926
106250,4,1294,0,0,2,1900
150000,6,1244,1,1244,1,1957
159000,6,1664,2,1004,2,1947
315750,7,2398,3,1379,2,1996
176000,7,1266,2,1257,2,2005
132000,5,928,1,928,1,1956
446261,9,2713,3,1452,2,2008
86000,4,605,0,528,1,1920
200624,6,2515,2,2035,3,1957
175000,6,1509,2,1461,2,1988
128000,6,1362,2,611,2,1920
107500,5,827,1,0,1,1955
39300,1,334,0,0,1,1946
178000,8,1414,2,707,2,2004
107500,5,1347,0,1117,1,1910
188000,7,1724,2,880,2,1998
111250,4,864,2,864,1,1972
158000,5,1159,1,1051,1,1968
272000,8,1601,2,1581,2,2001
315000,9,1838,3,1838,2,2006
248000,8,2285,3,969,2,2000
213250,7,1680,2,1650,2,1998
133000,7,767,1,723,1,1998
179665,7,1496,2,654,2,2006
229000,7,2183,3,1204,2,1988
210000,6,1635,2,1065,1,1923
129500,5,768,2,768,1,1970
125000,5,825,2,825,1,1955
263000,7,2094,2,912,2,2003
140000,6,1069,2,1069,2,1977
112500,5,928,1,928,1,1957
255500,8,1717,3,1709,2,2006
108000,4,1126,2,0,2,1949
284000,7,2046,3,998,2,2003
113000,5,1048,1,993,1,1922
141000,5,1092,1,1092,1,1957
108000,4,1336,1,637,1,1920
175000,7,1446,2,729,2,1996
234000,7,1557,2,1374,2,2003
121500,5,1392,2,1392,1,1957
170000,5,1389,2,1389,1,1974
108000,5,996,0,996,1,1940
185000,6,1674,2,1163,2,1918
268000,7,2295,2,1095,2,1992
128000,6,1647,1,806,1,1915
325000,9,2504,3,1122,2,2005
214000,7,1535,2,1517,2,2004
316600,8,2132,2,1496,1,1983
135960,5,943,2,943,1,1979
142600,5,1728,2,1728,2,1965
120000,6,864,1,864,1,1959
224500,7,1692,2,846,2,2009
170000,7,1430,2,384,2,2000
139000,5,1109,1,372,1,1971
118500,5,1216,1,832,1,1947
145000,7,1477,1,861,2,1928
164500,5,1320,2,1164,1,1966
146000,7,1392,2,689,2,2007
131500,5,1795,1,1050,2,1954
181900,6,1429,2,1144,1,1960
253293,8,2042,3,2042,2,2008
118500,6,816,0,816,1,1990
325000,10,2775,2,1237,3,1893
133000,4,1573,1,884,1,1935
369900,8,2028,3,1868,2,2005
130000,6,838,1,816,1,1918
137000,5,860,2,840,1,1982
143000,5,1473,1,1437,1,1968
79500,5,935,1,742,1,1930
185900,7,1582,2,770,2,2004
451950,10,2296,3,1722,2,2008
138000,5,816,2,816,1,1982
140000,6,848,2,848,1,2003
110000,5,924,1,924,1,1975
319000,8,1826,3,1814,2,2005
114504,6,1368,1,684,1,1910
194201,7,1402,3,1258,0,2006
217500,5,1647,2,1430,2,1977
151000,6,1556,2,716,2,1980
275000,8,1904,2,1058,2,2005
141000,6,1375,1,780,1,1937
220000,8,1915,2,908,2,1992
151000,7,1200,2,600,2,2004
221000,7,1494,2,1494,2,2002
205000,7,1986,2,768,2,1965
152000,5,1040,2,1040,1,1996
225000,5,2008,1,896,3,1948
359100,8,3194,2,965,2,1934
118500,4,1029,1,1029,1,1961
313000,9,2153,3,1440,2,2000
148000,6,1032,2,1032,2,1978
261500,8,1872,2,1299,2,2001
147000,5,1120,0,1120,1,2007
75500,4,630,0,630,1,1972
137500,6,1054,2,936,1,1963
183200,6,1509,2,783,2,2002
105500,6,832,2,832,1,1954
314813,9,1828,3,1822,2,2007
305000,8,2262,3,1482,2,2003
67000,3,864,0,864,1,1914
240000,6,2614,2,1522,2,1974
135000,5,980,2,980,1,1977
168500,6,1512,2,756,2,2000
165150,6,1790,2,732,1,1972
160000,6,1116,2,1116,1,1962
139900,5,1422,1,978,1,1960
153000,6,1520,1,1156,1,1955
135000,5,2080,2,1040,1,1969
168500,6,1350,2,1248,1,1964
124000,5,1750,1,636,1,1880
209500,8,1554,2,1554,2,2006
82500,7,1411,2,1386,2,1977
139400,5,1056,1,1056,1,1954
144000,6,1056,2,1056,0,1980
200000,6,3395,0,1440,2,1914
60000,2,800,0,264,1,1936
93000,5,1387,1,811,2,1954
85000,5,796,0,796,1,1910
264561,8,1567,3,1520,2,2006
274000,8,1518,2,1518,1,2003
226000,7,1929,2,1057,2,2001
345000,8,2704,2,1952,2,1972
152000,5,1620,2,780,2,1969
370878,9,1766,3,1766,2,2009
143250,6,981,2,981,1,1971
98300,5,1048,2,0,1,1950
155000,6,1094,2,1094,1,1953
155000,6,1839,2,756,1,1966
84500,4,630,0,630,1,1970
205950,7,1665,2,813,2,2007
108000,4,1510,1,755,1,1940
191000,7,1716,2,880,2,1996
135000,6,1469,1,756,1,1906
350000,8,2113,3,2109,2,1995
88000,6,1092,1,525,1,1971
145500,5,1053,1,1053,1,1959
149000,7,1502,1,776,1,1931
97500,6,1458,1,912,1,1948
167000,5,1486,2,1486,1,1964
197900,7,1935,2,793,2,1976
402000,8,2448,3,1629,2,1994
110000,6,1392,2,1392,1,1968
137500,4,1181,2,1138,2,1972
423000,8,2097,3,2077,1,2005
230500,8,1936,2,1406,2,2000
129000,6,2380,2,1021,2,1965
193500,6,1679,2,1408,2,1994
168000,5,1437,2,1188,1,1956
137500,4,1180,1,700,1,1922
173500,6,1476,2,738,2,2005
103600,6,1369,1,672,2,1925
165000,6,1208,2,1208,1,1977
257500,6,1839,2,1477,2,1957
140000,6,1136,1,1136,1,1965
148500,6,1441,2,855,2,1978
87000,4,1774,3,1095,2,1900
109500,5,792,1,768,1,1924
372500,8,2046,3,2046,2,2008
128500,5,988,2,988,1,1961
143000,6,923,1,923,2,1980
159434,5,1520,1,793,1,1932
173000,6,1291,2,1291,1,1996
285000,9,1668,3,1626,2,2002
221000,7,1839,2,1195,2,1998
207500,7,2090,2,1190,2,1984
227875,7,1761,2,874,3,2007
148800,7,1102,2,551,2,2004
392000,8,1419,2,1419,2,2007
194700,6,1362,2,1362,2,2005
141000,6,848,2,848,1,2004
755000,10,4316,3,2444,3,1994
335000,7,2519,2,1210,2,1989
108480,5,1073,1,1073,1,1921
141500,5,1539,2,927,1,1936
176000,6,1137,2,1112,2,1987
89000,5,616,1,616,1,1921
123500,5,1148,1,980,1,1952
138500,5,894,1,894,1,1965
196000,7,1391,2,1391,2,2004
312500,8,1800,3,1800,2,2002
140000,7,1164,2,1164,1,1969
361919,8,2576,3,1234,2,2006
140000,5,1812,2,360,2,1900
213000,7,1484,2,1473,2,2004
55000,4,1092,0,0,2,1930
302000,7,1824,2,1643,2,1971
254000,8,1324,2,1324,2,2006
179540,7,1456,2,728,2,2007
109900,5,904,1,876,1,1966
52000,3,729,0,270,1,1935
102776,4,1178,1,859,1,1900
189000,8,1228,2,1228,2,1988
129000,4,960,2,960,1,1970
130500,6,1479,2,725,2,1976
165000,6,1350,2,1064,2,1974
159500,7,2554,2,718,1,1890
157000,5,1178,2,1176,1,1973
341000,7,2418,3,1311,2,1993
128500,5,971,1,971,1,1969
275000,8,1742,2,1742,2,1985
143000,6,848,2,848,1,2004
124500,4,864,2,864,1,1970
135000,4,1470,1,941,2,1954
320000,9,1698,3,1698,2,2007
120500,4,864,2,864,1,1970
222000,6,1680,2,880,2,1988
194500,7,1232,2,1232,2,2007
